PCC_2007,PCC_2008
,100000Z1
,100000Z2
,100000Z3
15821259,10721259
15821310,10721910
15821320,10721920
15821330,10721257
15821340,10721940
15821350,10721950
15821390,10721990
15831100,10811100
15831230,10811230
15831290,10811290
15831330,10811300
15831350,10811300
15831430,10811430
15831450,10811450
15832000,10812000
15841100,10821100
15841200,10821200
15841300,10821300
15841400,10821400
15842133,10822130
15842135,10822130
15842137,10822130
15842150,10822150
15842170,10822170
15842190,10822190
15842233,10822233
15842235,10822235
15842239,10822239
15842243,10822243
15842245,10822245
15842253,10822253
15842255,10822255
15842260,10822260
15842270,10822270
15842280,10822280
15842290,10822290
15842310,10822310
15842320,10822320
15842330,10822330
15842353,10822353
15842355,10822355
15842363,10822363
15842365,10822365
15842373,10822373
15842375,10822375
15842383,10822383
15842390,10822390
15842400,10822400
15851130,10731130
15851150,10731150
15851233,10851410
15851235,10851430
15851250,10731200
15861130,10831130
15861150,10831150
15861170,10831170
15861210,10831210
15861230,10831240
15861250,10831240
15861270,10831270
15861300,10831300
15861400,10831400
15871130,10841130
15871190,10841190
15871210,10841210
15871230,10841230
15871253,10841253
15871255,10841255
15871270,10841270
15881010,10861010
15881030,10861030
15881050,10861050
15881060,10861060
15881070,10861070
15891100,10891100
15891230,10891230
15891250,10891250
15891333,10891334
15891335,10891334
15891339,10891339
15891350,10891350
15891370,10891370
15891431,10891925
15891439,10891930
15891491,10891935
15891499,10851900
15891499,10891935
15891499,10891940
15911020,11011020
15911030,11011030
15911040,11011040
15911050,11011050
15911063,11011063
15911065,11011065
15911070,11011070
15911080,11011080
15921100,20147400
15921200,20147500
15931130,11021130
15931193,11021193
15931195,11021195
15931211,11021211
15931213,11021213
15931215,11021215
15931217,11021217
15931219,11021219
15931230,11021230
15931253,11021250
15931259,11021250
15941000,11031000
15951000,11041000
15961000,11051000
15962000,11052000
15971030,11061030
15971050,11061050
15981130,11071130
15981150,11071150
15981230,11071930
15981250,11071950
15981270,11071970
16001130,12001130
16001150,12001150
16001170,12001170
16001230,12001930
16001290,12001990
17101000,13101000
17102011,13102100
17102021,13102200
17102023,13102200
17102025,13102300
17102027,13102400
17102030,13102500
17102040,13102900
17102050,13102600
17102050,13102900
17103030,13103100
17103050,13103200
17104150,13104010
17104190,13104030
17104230,13105010
17104250,13105030
17104332,13106132
17104333,13106133
17104335,13106135
17104352,13106152
17104353,13106153
17104355,13106155
171043Z1,131061Z1
171043Z2,131061Z2
17104400,13107110
17104510,13104050
17104530,13105050
17104553,13106200
17104555,13106200
17104557,13106160
17104570,13107120
17104600,13107200
17105130,13108110
17105150,13108130
17105230,13108210
17105250,13108320
17105270,13108340
17105290,13108380
17105330,13108333
17105350,13108336
171053Z1,131083Z0
17105400,13108410
17105513,13108510
17105515,13108510
17105530,13108150
17105553,13108550
17105555,13108550
17105570,13108250
17105570,13108390
17105570,13108430
17201010,13201100
17201020,13201230
17201030,13201260
17201040,13201330
17201070,13201400
17201080,13201360
17201090,13201900
17202014,13202014
17202017,13202017
17202019,13202019
17202020,13202020
17202031,13202031
17202042,13202042
17202044,13202044
17202049,13202049
17202060,13202060
17202072,13202072
17202074,13202074
17202079,13202079
172020Z1,132020Z1
172020Z3,132020Z2
172020Z5,132020Z3
17203130,13203130
17203150,13203150
17203170,13203170
17203210,13203210
17203220,13203220
17203230,13203230
17203240,13203240
17203250,13203250
17203290,13203290
17203330,13203330
17203350,13203350
17204010,13204100
17204033,13204200
17204035,13204300
17204050,13204500
17204070,13204400
17204090,13204600
17301010,13301110
17301021,13301121
17301022,13301122
17301023,13301123
17301024,13301124
17301025,13301125
17301026,13301126
17301027,13301127
17301028,13301128
17302110,13301210
17302120,13301220
17302130,13301230
17302140,13301240
17302150,13301250
17302160,13301260
17302170,13301270
17302180,13301280
17302190,13301290
17302210,13301310
17302220,13301320
17302230,13301330
17302240,13301340
17302250,13301350
17302260,13301360
17302270,13301370
17302280,13301380
17302290,13301390
17303010,13301410
17303020,13301420
17303030,13301430
17303040,13301440
17303050,13301450
17303060,13301460
17303070,13301470
17303080,13301480
17303090,13301490
17304010,13301910
17304020,13301920
17304030,13301930
17304040,13301940
17304050,13301950
17304060,13301960
17304070,13301970
17304080,13301980
17304090,13301990
17304095,13301995
17401130,13921130
17401150,13921150
17401190,13921190
17401230,13921230
17401253,13921253
17401255,13921255
17401259,13921259
17401270,13921270
17401330,13921330
17401353,13921353
17401355,13921355
17401359,13921359
17401370,13921370
17401430,13921430
17401450,13921450
17401470,13921470
17401530,13921530
17401550,13921550
17401570,13921570
17401630,13921620
17401653,13921640
17401659,13921660
17401670,13921680
17402130,13922130
17402150,13922150
17402173,13922173
17402175,13922175
17402190,13922190
17402210,13922210
17402230,13922230
17402250,13922250
17402270,13922270
17402300,13922300
17402430,13922430
17402493,13922493
17402499,13922499
17402553,13922953
17402557,13922957
17402590,13922990
17409000,33191020
17511100,13931100
17511200,13931200
17511300,13931300
17511430,13931930
17511490,13931990
17521133,13941133
17521135,13941135
17521153,13941153
17521155,13941155
17521160,13941160
17521170,13941170
17521190,13941190
17521233,13941233
17521235,13941235
17521253,13941253
17521255,13941255
17521259,13941259
17521280,13941280
17529000,
17531010,13951010
17531020,13951020
17531030,13951030
17531050,13951050
