Key,CN6
1108,871190
0201b,841451
0201b,841459
0205b,851010
0301b,847180
0301b,847170
0401b,851830
0404b,852190
0802b,901813
1104,870310
1301,381590
1302,850750
1203,842810
1203,842820
1203,842831
1203,842832
1203,842833
1203,842839
1203,842840
1203,842860
1203,842890
0304,844351
0304,844359
0405,851829
1201,845710
1201,845720
1201,845730
1204,845811
1204,845819
1204,845891
1204,845899
1204,845910
1204,845921
1204,845929
1204,845931
1204,845939
1204,845940
1204,845951
1204,845959
1204,845961
1204,845969
1204,845970
1204,846011
1204,846019
1204,846021
1204,846029
1204,846031
1204,846039
1204,846040
1204,846090
1204,846120
1204,846130
1204,846140
1204,846150
1204,846190
1202,841410
