"UNU_Key";"slope";"intercept";"corr"
"0001";0,0000940217602549001;-1,13537330138076;0,371316367422494
"0002";0,000172807543091257;1,34713774658636;0,0948926689211299
"0101";0,00000569424096705394;-0,122251143434887;0,416337883831622
"0102";-0,0000140238042347918;1,33660199331783;-0,133123518650187
"0103";0,0000107932512412077;0,768969654211902;0,122969379098017
"0104";-0,0261828132847226;1294,35198076786;-0,362750609445431
"0105";-0,00342938422204977;164,027144952543;-0,386215088239936
"0106";0,0000417113290139262;-0,144088149310038;0,173223437411628
"0108";-0,00064359433466326;34,6018237263321;-0,249972233332711
"0109";-0,0000734907698641067;4,87003214550222;-0,280730076128546
"0111";0,0000189903886843462;0,14455589492145;0,248284159419602
"0112";0,00000457225881602981;0,0816232331587241;0,102811111627287
"0113";0,0000140290191542041;0,18934335146704;0,199871641983618
"0114";0,0000149938582665838;0,00198829314803626;0,563737946760926
"0201";0,0000189620470229597;-0,0509178322262787;0,339285264891326
"0202";0,0000270008326588561;-0,415836116100389;0,489757199176483
"0203";0,00000292935492682931;0,00542235723644958;0,238271866466518
"0204";0,00000217964151114282;0,259919960109372;0,0810130650147753
"0205";-0,0000113585350315836;0,665150373374556;-0,0842950042884264
"0301";-0,000000919033227510406;0,12818318119629;-0,0513313251070214
"0302";0,00000558412973671962;0,0061552482239293;0,118940486420809
"0303";0,00000112647844949804;0,0304346679091225;0,136171869029036
"0304";0,000108701811842115;-1,63541598527514;0,302736147413275
"0305";0,00000613016796290715;0,0650464096873549;0,156035677242179
"0306";-0,00000388161437511439;0,18520623725296;-0,376200381632146
"0307";0,00135307516565246;-20,8623785923882;0,273332776209825
"0308";0;0;NA
"0309";-0,0000211616949824713;6,77984141020641;-0,00584406477529751
"0401";0,000000979224974055294;0,995145490624141;0,00416007918430514
"0402";-0,00000649416799290596;0,329023512597182;-0,140232893470945
"0403";-0,00358600560624284;195,451136560106;-0,184224493180141
"0404";-0,0100183455353689;408,390699287516;-0,420572479372391
"0405";0,00000200943599515847;0,0572971584565551;0,0887689086617052
"0406";0,000000994736467376868;-0,0298157213996553;0,511040011674755
"0408";-0,0420225364658476;1944,71637772332;-0,393300476597827
"0501";0,00000147925995459483;-0,0283411022049426;0,430665160918189
"0502";0,00000013566233445384;0,0115448655333016;0,115546715792004
"0503";-0,00000388800953792493;0,249242989813801;-0,0998160335820576
"0504";0,000000705351218768863;-0,00238428224590025;0,213225163096109
"0505";-0,00000502445931649801;0,523869945964349;-0,0557159192593343
"0506";-0,000918618516002175;64,5825953713738;-0,237782017460764
"0507";0,00000201061969451031;-0,00480986784631749;0,252079807723391
"0601";-0,000127334496483501;6,87082110266936;-0,121792611985927
"0602";0,00000959127386030606;-0,0881991240640245;0,247775458045637
"0701";-0,00000531306158843386;0,409994301920155;-0,216761360581447
"0702";0,00000241565713016431;-0,032145998074486;0,556096314614432
"0703";-0,0000750075931604191;4,827067622827;-0,14418080927139
"0801";0,00000104470540346802;-0,0257675688785615;0,332761972496867
"0802";-0,0000846013427746727;4,23256417273135;-0,208954549109642
"0901";-0,000000391151693611146;0,179580353340744;-0,0211545138683107
"0902";-0,000121990048442128;7,44943069572737;-0,365293321346517
"1001";0,00000151486100671409;0,0188867035802159;0,121208268992249
"1002";-0,00000648123653389226;0,699817523065703;-0,0687880706972749
