CN,Year,UNU_Key
84283100,2013,1203
84283100,2014,1203
84283100,2015,1203
84283100,2016,1203
84283100,2017,1203
84283100,2018,1203
84283200,1993,1203
84283200,1994,1203
84283200,1995,1203
84283200,1996,1203
84283200,1997,1203
84283200,1998,1203
84283200,1999,1203
84283200,2000,1203
84283200,2001,1203
84283200,2002,1203
84283200,2003,1203
84283200,2004,1203
84283200,2005,1203
84283200,2006,1203
84283200,2007,1203
84283200,2008,1203
84283200,2009,1203
84283200,2010,1203
84283200,2011,1203
84283200,2012,1203
84283200,2013,1203
84283200,2014,1203
84283200,2015,1203
84283200,2016,1203
84283200,2017,1203
84283200,2018,1203
84283310,1993,1203
84283390,1993,1203
84283310,1994,1203
84283390,1994,1203
84283310,1995,1203
84283390,1995,1203
84283310,1996,1203
84283390,1996,1203
84283310,1997,1203
84283390,1997,1203
84283310,1998,1203
84283390,1998,1203
84283310,1999,1203
84283390,1999,1203
84283310,2000,1203
84283390,2000,1203
84283310,2001,1203
84283390,2001,1203
84283310,2002,1203
84283390,2002,1203
84283310,2003,1203
84283390,2003,1203
84283310,2004,1203
84283390,2004,1203
84283310,2005,1203
84283390,2005,1203
84283300,2006,1203
84283300,2007,1203
84283300,2008,1203
84283300,2009,1203
84283300,2010,1203
84283300,2011,1203
84283300,2012,1203
84283300,2013,1203
84283300,2014,1203
84283300,2015,1203
84283300,2016,1203
84283300,2017,1203
84283300,2018,1203
84283991,1993,1203
84283999,1993,1203
84283991,1994,1203
84283999,1994,1203
84283991,1995,1203
84283993,1995,1203
84283998,1995,1203
84283991,1996,1203
84283993,1996,1203
84283998,1996,1203
84283991,1997,1203
84283993,1997,1203
84283998,1997,1203
84283991,1998,1203
84283993,1998,1203
84283998,1998,1203
84283991,1999,1203
84283993,1999,1203
84283998,1999,1203
84283991,2000,1203
84283993,2000,1203
84283998,2000,1203
84283991,2001,1203
84283993,2001,1203
84283998,2001,1203
84283991,2002,1203
84283993,2002,1203
84283998,2002,1203
84283991,2003,1203
84283993,2003,1203
84283998,2003,1203
84283991,2004,1203
84283993,2004,1203
84283998,2004,1203
84283991,2005,1203
84283993,2005,1203
84283998,2005,1203
84283920,2006,1203
84283940,2006,1203
84283990,2006,1203
84283920,2007,1203
84283990,2007,1203
84283920,2008,1203
84283990,2008,1203
84283920,2009,1203
84283990,2009,1203
84283920,2010,1203
84283990,2010,1203
84283920,2011,1203
84283990,2011,1203
84283920,2012,1203
84283990,2012,1203
84283920,2013,1203
84283990,2013,1203
84283920,2014,1203
84283990,2014,1203
84283920,2015,1203
84283990,2015,1203
84283920,2016,1203
84283990,2016,1203
84283920,2017,1203
84283990,2017,1203
84283920,2018,1203
84283990,2018,1203
84284000,1993,1203
84284000,1994,1203
84284000,1995,1203
84284000,1996,1203
84284000,1997,1203
84284000,1998,1203
84284000,1999,1203
84284000,2000,1203
84284000,2001,1203
84284000,2002,1203
84284000,2003,1203
84284000,2004,1203
84284000,2005,1203
84284000,2006,1203
84284000,2007,1203
84284000,2008,1203
84284000,2009,1203
84284000,2010,1203
84284000,2011,1203
84284000,2012,1203
84284000,2013,1203
84284000,2014,1203
84284000,2015,1203
84284000,2016,1203
84284000,2017,1203
84284000,2018,1203
84286000,1993,1203
84286000,1994,1203
84286000,1995,1203
84286000,1996,1203
84286000,1997,1203
84286000,1998,1203
84286000,1999,1203
84286000,2000,1203
84286000,2001,1203
84286000,2002,1203
84286000,2003,1203
84286000,2004,1203
84286000,2005,1203
84286000,2006,1203
84286000,2007,1203
84286000,2008,1203
84286000,2009,1203
84286000,2010,1203
84286000,2011,1203
84286000,2012,1203
84286000,2013,1203
84286000,2014,1203
84286000,2015,1203
84286000,2016,1203
84286000,2017,1203
84286000,2018,1203
84289010,1993,1203
84289030,1993,1203
84289050,1993,1203
84289071,1993,1203
84289079,1993,1203
84289091,1993,1203
84289099,1993,1203
84289030,1994,1203
84289050,1994,1203
84289071,1994,1203
84289079,1994,1203
84289091,1994,1203
84289099,1994,1203
84289030,1995,1203
84289050,1995,1203
84289071,1995,1203
84289079,1995,1203
84289091,1995,1203
84289099,1995,1203
84289030,1996,1203
84289050,1996,1203
84289071,1996,1203
84289079,1996,1203
84289091,1996,1203
84289099,1996,1203
84289030,1997,1203
84289071,1997,1203
84289079,1997,1203
84289091,1997,1203
84289098,1997,1203
84289030,1998,1203
84289071,1998,1203
84289079,1998,1203
84289091,1998,1203
84289098,1998,1203
84289030,1999,1203
84289071,1999,1203
84289079,1999,1203
84289091,1999,1203
84289098,1999,1203
84289030,2000,1203
84289071,2000,1203
84289079,2000,1203
84289091,2000,1203
84289098,2000,1203
84289030,2001,1203
84289071,2001,1203
84289079,2001,1203
84289091,2001,1203
84289098,2001,1203
84289030,2002,1203
84289071,2002,1203
84289079,2002,1203
84289091,2002,1203
84289098,2002,1203
84289030,2003,1203
84289071,2003,1203
84289079,2003,1203
84289091,2003,1203
84289098,2003,1203
