CN,AverageWeight,Year
84705000,8.0,2008
84705000,8.0,2009
84705000,8.0,2010
84705000,8.0,2011
84705000,8.0,2012
84705000,8.0,2013
84705000,8.0,2014
84709000,8.0,2008
84709000,8.0,2009
84709000,8.0,2010
84709000,8.0,2011
84709000,8.0,2012
84709000,8.0,2013
84709000,8.0,2014
85198155,1.6,2008
85198155,1.6,2009
85198155,1.6,2010
85198155,1.6,2011
85198155,1.6,2012
85198155,1.6,2013
85198155,1.6,2014
85198161,1.6,2008
85198161,1.6,2009
85198161,1.6,2010
85198161,1.6,2011
85198161,1.6,2012
85198161,1.6,2013
85198161,1.6,2014
85198165,1.6,2008
85198165,1.6,2009
85198165,1.6,2010
85198165,1.6,2011
85198165,1.6,2012
85198165,1.6,2013
85198165,1.6,2014
85198175,1.6,2008
85198175,1.6,2009
85198175,1.6,2010
85198175,1.6,2011
85198175,1.6,2012
85198175,1.6,2013
85198175,1.6,2014
85198181,1.6,2008
85198181,1.6,2009
85198181,1.6,2010
85198181,1.6,2011
85198181,1.6,2012
85198181,1.6,2013
85198181,1.6,2014
85198185,1.6,2008
85198185,1.6,2009
85198185,1.6,2010
85198185,1.6,2011
85198185,1.6,2012
85198185,1.6,2013
85198185,1.6,2014
85198990,1.6,2007
85198990,1.6,2008
85198990,1.6,2009
85198990,1.6,2010
85198990,1.6,2011
85198990,1.6,2012
85198990,1.6,2013
85198990,1.6,2014
85437051,33.33,2007
85437055,33.33,2007
85437059,33.33,2007
85438051,33.33,1995
85438951,33.33,1996
85438951,33.33,1997
85438951,33.33,1998
85438951,33.33,1999
85438951,33.33,2000
85438951,33.33,2001
85438951,33.33,2002
85438951,33.33,2003
85438951,33.33,2004
85438951,33.33,2005
85438951,33.33,2006
85438955,33.33,1996
85438955,33.33,1997
85438955,33.33,1998
85438955,33.33,1999
85438955,33.33,2000
85438955,33.33,2001
85438955,33.33,2002
85438955,33.33,2003
85438955,33.33,2004
85438955,33.33,2005
85438955,33.33,2006
85438959,33.33,1996
85438959,33.33,1997
85438959,33.33,1998
85438959,33.33,1999
85438959,33.33,2000
85438959,33.33,2001
85438959,33.33,2002
85438959,33.33,2003
85438959,33.33,2004
85438959,33.33,2005
85438959,33.33,2006
84705000,8.0,2015
84709000,8.0,2015
85198155,1.6,2015
85198161,1.6,2015
85198165,1.6,2015
85198175,1.6,2015
85198181,1.6,2015
85198185,1.6,2015
85198990,1.6,2015
63011000,1.2477681778069654,
84131100,32.03545225726985,
84131900,4.191957127232671,
84132000,0.09457430566436409,
84133020,2.1623867585895127,
84133080,1.2320789686625897,
84134000,787.688686717813,
84135040,1.855992760860174,
84135061,15.680445213052886,
84135069,5.244643235023544,
84135080,5.69784768933193,
84136031,5.108502913665125,
84136039,4.180195202306209,
84136061,4.243736751433898,
84136069,2.5629538461538464,
84136070,48.67087807495278,
84136080,6.282783883760686,
84137021,9.191237702069104,
84137029,16.029121735208495,
84137030,3.695843222593547,
84137035,1.1484382988926507,
84137045,15.144035042514815,
84137051,13.37690315222942,
84137059,19.802672704342797,
84137065,36.693382486052364,
84137075,33.70675278794107,
84137081,16.203908527566142,
84137089,19.679009244942243,
84138100,2.517450402424693,
84138200,7.3837194523667895,
84141010,7.835484328464048,
84141015,3.716625049079381,
84141020,10.96452653180885,
84141025,16.528696446932912,
84141081,6.231786573696875,
84141089,2.123641195957493,
84142020,0.3823449866492208,
84142080,0.6147741667354256,
84143020,8.068444107073933,
84143081,15.075348965321865,
84143089,8.344417417304697,
84144010,31.567796610169488,
84144090,137.2407636313693,
84146000,9.54913175248383,
84148011,8.100186723706768,
84148019,16.732210872754017,
84148022,13.328350863795482,
84148028,43.21651207205994,
