"UNU_Key","Year","Country","POM_kg","POM_pieces"
"0001","2001","HRV",824558.8,26728
"0001","2001","HUN",5922973.2,191992.648298217
"0001","2001","IRL",10576757.6,342844.654781199
"0001","2001","ITA",220259130.4,7139680.07779579
"0001","2001","LTU",2612699,84690.4051863857
"0001","2001","LUX",605800,19636.9529983793
"0001","2001","LVA",1261660.4,40896.6094003242
"0001","2001","NLD",43832175,1420816.04538088
"0001","2001","POL",12339300,399977.309562399
"0001","2001","PRT",2120359.4,68731.2609400324
"0001","2001","ROU",11071600,358884.92706645
"0001","2001","SVK",6061811.12746052,196493.067340698
"0001","2001","SVN",1597791.8,51792.2787682334
"0001","2001","SWE",5416793.6,175584.881685575
"0001","2002","AUT",4036049.6,130828.188006483
"0001","2002","BEL",13211511,428249.951377634
"0001","2002","BGR",1246000,40388.9789303079
"0001","2002","CZE",3402210.42,110282.347487844
"0001","2002","DEU",10280424.4,333239.040518639
"0001","2002","ESP",29557449.4,958102.087520259
"0001","2002","EST",1090437.6,35346.4376012966
"0001","2002","FIN",133668.8,4332.86223662885
"0001","2002","FRA",106219084.2,3443082.1458671
"0001","2002","GBR",143533081.4,4652612.03889789
"0001","2002","GRC",7758518.8194012,251491.695928726
"0001","2002","HRV",2347904.4,76107.1118314425
"0001","2002","HUN",5238843.8,169816.654781199
"0001","2002","IRL",10576326.6439974,342830.685380791
"0001","2002","ITA",216743345,7025716.20745543
"0001","2002","LTU",2950060.6,95625.9513776337
"0001","2002","LUX",148400,4810.37277147488
"0001","2002","LVA",1428773.6,46313.5688816856
"0001","2002","NLD",52039246.0910412,1686847.52321041
"0001","2002","POL",24011441.4,778328.732576985
"0001","2002","PRT",2300412.4,74567.6628849271
"0001","2002","ROU",14734600,477620.74554295
"0001","2002","SVK",6537598.898,211915.685510535
"0001","2002","SVN",1558682.2660796,50524.5467124666
"0001","2002","SWE",6191509,200697.212317666
"0001","2003","AUT",3356731.25005453,108808.144248121
"0001","2003","BEL",15879564.2,514734.65802269
"0001","2003","BGR",2161500,70064.829821718
"0001","2003","DEU",16788581.2,544200.363047002
"0001","2003","DNK",648399,21017.7957860616
"0001","2003","ESP",26898787.4,871921.795786062
"0001","2003","EST",1538213.98333333,49861.0691518098
"0001","2003","FRA",112103573.4,3633827.33873582
"0001","2003","GBR",148192358.4,4803642.08752026
"0001","2003","GRC",8717243,282568.654781199
"0001","2003","HRV",3249580,105334.846029173
"0001","2003","HUN",7244830,234840.518638574
"0001","2003","IRL",11605729.1225668,376198.674961648
"0001","2003","ITA",275958453.6,8945168.67423015
"0001","2003","LTU",3374854.2,109395.598055105
"0001","2003","LUX",255700,8288.49270664505
"0001","2003","LVA",2279793.2,73899.2933549433
"0001","2003","NLD",55509772.3214286,1799344.32160222
"0001","2003","POL",47919354,1553301.58833063
"0001","2003","PRT",935570.8,30326.4440842788
"0001","2003","ROU",20440968.8,662592.181523501
"0001","2003","SVK",6481519.546,210097.878314425
"0001","2003","SVN",1964458.2,63677.737439222
"0001","2003","SWE",6083414.57142858,197193.341051169
"0001","2004","AUT",3969390.07044711,128667.425298123
"0001","2004","BEL",17924065.2,581006.975688817
